Genesis	gen	0
genesis	gen	0
Exodus	ex	0
exodus	ex	0
Leviticus	lev	0
leviticus	lev	0
Numbers	num	0
numbers	num	0
Deuteronomy	deut	0
deuteronomy	deut	0
Joshua	josh	0
Judges	judg	0
judges	judg	0
Ruth	ruth	0
1 Samuel	1-sam	1
1st Samuel	1-sam	1
first Samuel	1-sam	0
2 Samuel	2-sam	1
2nd Samuel	2-sam	1
second Samuel	2-sam	0
1 Kings	1-kgs	1
1st kings	1-kgs	1
first kings	1-kgs	0
2 Kings	2-kgs	1
2nd kings	2-kgs	1
second kings	2-kgs	0
1 Chronicles	1-chr	1
1st Chronicles	1-chr	1
first chronicles	1-chr	0
2 Chronicles	2-chr	1
2nd Chronicles	2-chr	1
second chronicles	2-chr	0
Ezra	ezra	0
Nehemiah	neh	0
Esther	esth	0
Job	job	0
job	job	0
Psalms	ps	0
Proverbs	prov	0
Ecclesiastes	eccl	0
Song of Solomon	song	0
song of Solomon	song	0
Isaiah	isa	0
Jeremiah	jer	0
Lamentations	lam	0
lamentations	lam	0
Ezekiel	ezek	0
Daniel	dan	0
Hosea	hosea	0
Joel	joel	0
Amos	amos	0
Obadiah	obad	0
Jonah	jonah	0
Micah	micah	0
Nahum	nahum	0
Habakkuk	hab	0
Zephaniah	zeph	0
Haggai	hag	0
Zechariah	zech	0
Malachi	mal	0
Matthew	matt	0
Mark	mark	0
Luke	luke	0
John	john	0
Acts	acts	0
acts	acts	0
Romans	rom	0
1 Corinthians	1-cor	1
1st Corinthians	1-cor	1
first Corinthians	1-cor	0
2 Corinthians	2-cor	1
2nd Corinthians	2-cor	1
second Corinthians	2-cor	0
Galatians	gal	0
Ephesians	eph	0
Philippians	philip	0
Colossians	col	0
1 Thessalonians	1-thes	1
first Thessalonians	1-thes	0
1st Thessalonians	1-thes	1
2 Thessalonians	2-thes	1
second Thessalonians	2-thes	0
2nd Thessalonians	2-thes	1
1 Timothy	1-tim	1
first Timothy	1-tim	0
1st Timothy	1-tim	1
2 Timothy	2-tim	1
second Timothy	2-tim	0
2nd Timothy	2-tim	1
Titus	titus	0
Philemon	philem	0
Hebrews	heb	0
James	james	0
1 Peter	1-pet	1
2 Peter	2-pet	1
1 John	1-jn	1
2 John	2-jn	1
3 John	3-jn	1
first Peter	1-pet	0
second Peter	2-pet	0
first John	1-jn	0
second John	2-jn	0
third John	3-jn	0
1st Peter	1-pet	1
2nd Peter	2-pet	1
1st John	1-jn	1
2nd John	2-jn	1
3rd John	3-jn	1
Jude	jude	0
Revelation	rev	0
revelation	rev	0
1 Nephi	1-ne	1
1st Nephi	1-ne	1
first Nephi	1-ne	0
2 Nephi	2-ne	1
2nd Nephi	2-ne	1
second Nephi	2-ne	0
Jacob	jacob	0
Enos	enos	0
Jarom	jarom	0
Omni	omni	0
Words of Mormon	w-of-m	0
words of Mormon	w-of-m	0
Mosiah	mosiah	0
Alma	alma	0
Helaman	hel	0
3 Nephi	3-ne	1
3rd Nephi	3-ne	1
third Nephi	3-ne	0
4 Nephi	4-ne	1
4th Nephi	4-ne	1
fourth Nephi	4-ne	0
Mormon	morm	0
Ether	ether	0
Moroni	moro	0
Doctrine and Covenants	dc	0
doctrine and covenants	dc	0
doctrine & covenants	dc	0
D & C	dc	0
D&C	dc	0
D and C	dc	0
Moses	moses	0
Abraham	abr	0
Articles of Faith	a-of-f	0
article of faith	a-of-f	0
articles of faith	a-of-f	0
