1	Bulbasaur	Egg	http://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/e/ec/001MS.png
2	Ivysaur	Bulbasaur	http://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/6/6b/002MS.png
3	Venusaur	Ivysaur	http://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/d/df/003MS.png
4	Charmander	Egg	http://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/b/bb/004MS.png
5	Charmeleon	Charmander	http://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/d/dc/005MS.png
6	Charizard	Charmeleon	http://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/0/01/006MS.png
7	Squirtle	Egg	http://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/9/92/007MS.png
8	Wartortle	Squirtle	http://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/f/f3/008MS.png
9	Blastoise	Wartortle	http://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/c/cb/009MS.png
10	Caterpie	Egg	http://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/6/69/010MS.png
11	Metapod	Caterpie	http://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/c/ce/011MS.png
12	Butterfree	Metapod	http://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/1/14/012MS.png
13	Weedle	Egg	http://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/6/65/013MS.png
14	Kakuna	 Weedle	http://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/8/81/014MS.png
15	Beedrill	Kakuna	http://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/5/5a/015MS.png
16	Pidgey	Egg	http://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/9/9c/016MS.png
17	Pidgeotto	Pidgey	http://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/a/a9/017MS.png
18	Pidgeot	Pidgeotto	http://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/6/68/018MS.png
19	Rattata	Egg	http://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/4/4d/019MS.png
20	Raticate	Rattata	http://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/4/4d/020MS.png
21	Spearow	Egg	http://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/5/5b/021MS.png
22	Fearow	Spearow	http://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/3/35/022MS.png
23	Ekans	Egg	http://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/0/0d/023MS.png
24	Arbok	Ekans	http://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/d/d3/024MS.png
25	Pikachu	Pichu	http://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/0/0f/025MS.png
26	Raichu	Pikachu	http://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/d/da/026MS.png
27	Sandshrew	Egg	http://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/c/c3/027MS.png
28	Sandslash	Sandshrew	http://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/e/e0/028MS.png
29	Nidoran♀	Egg	http://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/a/ab/029MS.png
30	Nidorina	Nidoran♀	http://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/d/d0/030MS.png
31	Nidoqueen	Nidorina	http://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/3/31/031MS.png
32	Nidoran♂	Egg	http://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/f/fb/032MS.png
33	Nidorino	Nidoran♂	http://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/0/0e/033MS.png
34	Nidoking	Nidorino	http://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/1/18/034MS.png
35	Clefairy	Cleffa	http://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/f/f9/035MS.png
36	Clefable	Clefairy	http://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/7/75/036MS.png
37	Vulpix	Egg	http://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/8/85/037MS.png
38	Ninetales	Vulpix	http://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/1/10/038MS.png
39	Jigglypuff	Igglybuff	http://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/9/9c/039MS.png
40	Wigglytuff	Jigglypuff	http://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/f/f1/040MS.png
41	Zubat	Egg	http://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/9/96/041MS.png
42	Golbat	Zubat	http://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/d/d0/042MS.png
43	Oddish	Egg	http://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/a/a5/043MS.png
44	Gloom	Oddish	http://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/d/d9/044MS.png
45	Vileplume	Gloom	http://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/3/3e/045MS.png
46	Paras	Egg	http://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/7/7a/046MS.png
47	Parasect	Paras	http://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/4/41/047MS.png
48	Venonat	Egg	http://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/1/1e/048MS.png
49	Venomoth	Venonat	http://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/3/31/049MS.png
50	Diglett	Egg	http://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/8/8b/050MS.png
51	Dugtrio	Diglett	http://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)	http://cdn.bulbagarden.net/upload/8/86/051MS.png
